Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Amegilla femorata","Animals","Pollinator",4,12.0000,1
"Andrena sp1 M_PL_058","Animals","Pollinator",22,160.0000,1
"Anthidium sp1 M_PL_058","Animals","Pollinator",6,11.0000,1
"Anthidium sticticum","Animals","Pollinator",10,58.0000,1
"Anthophora sp1 M_PL_058","Animals","Pollinator",2,3.0000,1
"Apis mellifera","Animals","Pollinator",13,114.0000,108
"Bombus terrestris","Animals","Pollinator",8,40.0000,11
"Callophrys rubi","Animals","Pollinator",2,4.0000,4
"Camponotus aethiops","Animals","Pollinator",2,8.0000,1
"Ceratina cucurbitina","Animals","Pollinator",2,3.0000,3
"Cerceris sp1 M_PL_058","Animals","Pollinator",1,1.0000,1
"Colletes sp1 M_PL_058","Animals","Pollinator",6,13.0000,1
"Conophorus virescens","Animals","Pollinator",4,6.0000,1
"Criptocephalus sp1 M_PL_058","Animals","Pollinator",4,17.0000,1
"Eucera sp1 M_PL_058","Animals","Pollinator",1,1.0000,1
"Halictus gemmeus","Animals","Pollinator",7,25.0000,3
"Halictus pyrenaicus","Animals","Pollinator",5,14.0000,1
"Halictus sp1 M_PL_058","Animals","Pollinator",7,10.0000,1
"Halyctus sp1 M_PL_058","Animals","Pollinator",3,5.0000,1
"Helorus coruscus","Animals","Pollinator",1,1.0000,1
"Hylaeus nigritus","Animals","Pollinator",3,5.0000,1
"Hylaeus sp2 M_PL_058","Animals","Pollinator",3,8.0000,1
"Hylaeus variegatus","Animals","Pollinator",1,1.0000,2
"Lasioglossum sp1 M_PL_058","Animals","Pollinator",14,30.0000,1
"Lassiopogon sp1 M_PL_058","Animals","Pollinator",1,1.0000,1
"Megachile sp1 M_PL_058","Animals","Pollinator",1,1.0000,1
"Megachile sp2 M_PL_058","Animals","Pollinator",5,12.0000,1
"Mordella bipunctata","Animals","Pollinator",6,26.0000,1
"Mordellistena pumila","Animals","Pollinator",14,106.0000,1
"Myrabilis quadripunctata","Animals","Pollinator",7,35.0000,1
"Nomada sp1 M_PL_058","Animals","Pollinator",5,7.0000,1
"Oedemera barbara","Animals","Pollinator",3,9.0000,1
"Oedemera flavipes","Animals","Pollinator",15,36.0000,2
"Oedemera lurida","Animals","Pollinator",13,94.0000,3
"Oedemera nobilis","Animals","Pollinator",5,11.0000,1
"Osmia sp1 M_PL_058","Animals","Pollinator",5,10.0000,1
"Oxythyrea funesta ","Animals","Pollinator",12,72.0000,2
"Papilion machaon","Animals","Pollinator",1,1.0000,1
"Pieris rapae ","Animals","Pollinator",1,1.0000,6
"Plagiolepsis pigmaea","Animals","Pollinator",5,12.0000,1
"Polistes gallicum","Animals","Pollinator",3,7.0000,1
"Psilothrix sp1 M_PL_058","Animals","Pollinator",8,54.0000,1
"Pyronia tithonus ","Animals","Pollinator",1,1.0000,2
"Scolia sp1 M_PL_058","Animals","Pollinator",4,6.0000,1
"Sphaerophoria sp1 M_PL_058","Animals","Pollinator",3,5.0000,1
"Sphecodes sp1 M_PL_058","Animals","Pollinator",3,4.0000,1
"Stenopterus rufus","Animals","Pollinator",1,1.0000,1
"Trichodes apiarius","Animals","Pollinator",5,8.0000,1
"Unidentified sp35 M_PL_058","Animals","Pollinator",8,44.0000,1
"Unidentified sp36 M_PL_058","Animals","Pollinator",1,1.0000,1
"Unidentified sp37 M_PL_058","Animals","Pollinator",4,7.0000,1
