Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
Andinus venustus,Animals,Pollinator,1,1,3
Anthidium espinosai,Animals,Pollinator,2,2,1
Anthidium sp1 M_PL_003,Animals,Pollinator,6,6,1
Bombus dahlbomii,Animals,Pollinator,3,3,5
Cynthia terpsichore,Animals,Pollinator,1,1,1
Dasybasis sp1 M_PL_003,Animals,Pollinator,1,1,1
Faunula leucoglene,Animals,Pollinator,2,2,3
Habromyia lipoflava,Animals,Pollinator,2,2,3
Hypsochila wagenknechti,Animals,Pollinator,1,1,2
Megachile semirufa,Animals,Pollinator,2,2,3
Megachile sp1 M_PL_003,Animals,Pollinator,3,3,1
Phulia nymphula,Animals,Pollinator,7,7,3
Pseudolucia chilensis,Animals,Pollinator,1,1,3
Scaeva melanostoma,Animals,Pollinator,9,9,3
Tatochila mercedis,Animals,Pollinator,1,1,3
Unidentified sp1 M_PL_003,Animals,Pollinator,15,15,1
Unidentified sp2 M_PL_003,Animals,Pollinator,7,7,1
Unidentified sp3 M_PL_003,Animals,Pollinator,2,2,1
Unidentified sp4 M_PL_003,Animals,Pollinator,2,2,1
Unidentified sp5 M_PL_003,Animals,Pollinator,1,1,1
Unidentified sp6 M_PL_003,Animals,Pollinator,1,1,1
Unidentified sp7 M_PL_003,Animals,Pollinator,1,1,1
Vibrissomyia sp1 M_PL_003,Animals,Pollinator,1,1,1
Villa sp1 M_PL_003,Animals,Pollinator,1,1,1
Yramea modesta,Animals,Pollinator,8,8,2
Acaena pinnatifida,Plants,Plant,1,1,2
Adesmia capitellata,Plants,Plant,2,2,1
Adesmia glomerula,Plants,Plant,2,2,1
Azorella madreporica,Plants,Plant,5,5,1
Caiophora coronata,Plants,Plant,3,3,1
Calandrinia affinis,Plants,Plant,1,1,3
Calandrinia caespitosa,Plants,Plant,1,1,2
Calandrinia occulta,Plants,Plant,1,1,1
Calandrinia picta,Plants,Plant,1,1,1
Calandrinia sericea,Plants,Plant,1,1,2
Cardamine nivalis,Plants,Plant,1,1,3
Chaetanthera flabellata,Plants,Plant,1,1,1
Chaetanthera lycopodioides,Plants,Plant,2,2,1
Draba gilliesii,Plants,Plant,3,3,1
Draba tenuis,Plants,Plant,4,4,1
Erigeron andicola,Plants,Plant,1,1,2
Junellia uniflora,Plants,Plant,3,3,1
Laretia acaulis,Plants,Plant,4,4,2
Leuceria salina,Plants,Plant,1,1,1
Loasa caespitosa,Plants,Plant,2,2,2
Nassauvia lagascae,Plants,Plant,4,4,1
Nassauvia pinnigera,Plants,Plant,1,1,1
Nassauvia pungens,Plants,Plant,2,2,2
Nototriche compacta,Plants,Plant,4,4,1
Oreopolus glacialis,Plants,Plant,3,3,1
Oxalis compacta,Plants,Plant,7,7,2
Oxalis sp1 M_PL_003,Plants,Plant,1,1,1
Phacelia secunda,Plants,Plant,6,6,4
Pozoa coriacea,Plants,Plant,1,1,1
Ranunculus peduncularis,Plants,Plant,1,1,2
Senecio francisci,Plants,Plant,1,1,3
Tropaeolum polyphyllum,Plants,Plant,5,5,1
Valeriana radicalis,Plants,Plant,1,1,1
Viola atropurpurea,Plants,Plant,2,2,1
Viola montagnei,Plants,Plant,1,1,1
Viola philippii,Plants,Plant,1,1,2
