Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Apis mellifera","Animals","Pollinator",17,17.0000,108
"Augochlora sp1 M_PL_031","Animals","Pollinator",3,3.0000,1
"Augochloropsis sp1 M_PL_031","Animals","Pollinator",5,5.0000,1
"Augochloropsis sp2 M_PL_031","Animals","Pollinator",1,1.0000,1
"Augochloropsis sp3 M_PL_031","Animals","Pollinator",1,1.0000,1
"Bombus atratus","Animals","Pollinator",6,6.0000,1
"Bombus pullatus","Animals","Pollinator",7,7.0000,1
"Bombus volucelloides","Animals","Pollinator",9,9.0000,1
"Brachygastra lecheguana","Animals","Pollinator",1,1.0000,1
"Calicopis sp1 M_PL_031","Animals","Pollinator",4,4.0000,1
"Campsomeris sp1 M_PL_031","Animals","Pollinator",3,3.0000,1
"Ceratina sp1 M_PL_031","Animals","Pollinator",4,4.0000,1
"Cerciris sp1 M_PL_031","Animals","Pollinator",5,5.0000,1
"Coereba flaveola ","Animals","Pollinator",1,1.0000,11
"Copestylum sp1 M_PL_031","Animals","Pollinator",3,3.0000,1
"Cyclocephala sp1 M_PL_031","Animals","Pollinator",1,1.0000,1
"Cyclocephala sp2 M_PL_031","Animals","Pollinator",1,1.0000,1
"Cylindromia sp1 M_PL_031","Animals","Pollinator",1,1.0000,1
"Dialictus sp1 M_PL_031","Animals","Pollinator",3,3.0000,1
"Dialictus sp2 M_PL_031","Animals","Pollinator",1,1.0000,1
"Eristalis sp1 M_PL_031","Animals","Pollinator",1,1.0000,1
"Euglossa sp1 M_PL_031","Animals","Pollinator",8,8.0000,1
"Eulaema meriana","Animals","Pollinator",2,2.0000,1
"Exomalopsis sp1 M_PL_031","Animals","Pollinator",3,3.0000,1
"Hylaeus sp1 M_PL_031","Animals","Pollinator",1,1.0000,1
"Melipona compresipes","Animals","Pollinator",1,1.0000,1
"Melipona scutellaris","Animals","Pollinator",13,13.0000,1
"Montezumia azurescens","Animals","Pollinator",1,1.0000,1
"Oxybelus sp1 M_PL_031","Animals","Pollinator",1,1.0000,1
"Pachodynerus nasidens","Animals","Pollinator",2,2.0000,1
"Panoquina bola","Animals","Pollinator",2,2.0000,1
"Pepsis sp1 M_PL_031","Animals","Pollinator",1,1.0000,1
"Pereirapsis sp1 M_PL_031","Animals","Pollinator",1,1.0000,1
