Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Aglaeactis cupripennis","Animals","Pollinator",8,109.0000,1
"Chalcostigma herrani","Animals","Pollinator",14,58.0000,1
"Coeligena lutetiae","Animals","Pollinator",3,5.0000,1
"Ensifera ensifera","Animals","Pollinator",1,3.0000,1
"Eriocnemis derbyi","Animals","Pollinator",11,42.0000,1
"Eriocnemis mosquera","Animals","Pollinator",25,230.0000,1
"Lafresnaya lafresnayi","Animals","Pollinator",3,20.0000,1
"Metallura tyrianthina","Animals","Pollinator",12,52.0000,1
"Pterophanes cyanopterus","Animals","Pollinator",6,63.0000,1
"Barnadesia spinosa","Plants","Plant",5,87.0000,1
"Bejaria aestuans","Plants","Plant",1,1.0000,1
"Bomarea linifolia","Plants","Plant",2,6.0000,1
"Bomarea sp1 M_PL_068","Plants","Plant",3,7.0000,1
"Brachyotum ledifolium","Plants","Plant",3,9.0000,1
"Brachyotum lindenii","Plants","Plant",3,51.0000,1
"Brachyotum sp1 M_PL_068","Plants","Plant",1,7.0000,1
"Centropogon sp1 M_PL_068","Plants","Plant",3,5.0000,1
"Desfontainea spinosa","Plants","Plant",3,25.0000,1
"Diplostephium sp1 M_PL_068","Plants","Plant",1,1.0000,1
"Disterigma codonanthum","Plants","Plant",4,44.0000,1
"Disterigma sp1 M_PL_068","Plants","Plant",2,12.0000,1
"Elleanthus sp1 M_PL_068","Plants","Plant",2,5.0000,1
"Espeletia sp1 M_PL_068","Plants","Plant",1,16.0000,1
"Fuchsia corollata","Plants","Plant",3,7.0000,1
"Gaiadendron punctatum","Plants","Plant",1,10.0000,2
"Gaultheria erecta","Plants","Plant",3,13.0000,1
"Gaultheria insipida","Plants","Plant",2,2.0000,1
"Guzmania bakeri","Plants","Plant",2,25.0000,1
"Guzmania candelabrum","Plants","Plant",4,28.0000,1
"Macleania rupestris","Plants","Plant",5,31.0000,1
"Passiflora mixta","Plants","Plant",2,4.0000,1
"Pernettya prostrata","Plants","Plant",1,1.0000,1
"Puya clava-herculis","Plants","Plant",3,36.0000,1
"Racinaea tetrantha","Plants","Plant",3,10.0000,1
"Siphocampylus giganteus","Plants","Plant",6,35.0000,1
"Siphocampylus paramicola","Plants","Plant",7,77.0000,1
"Tillandsia complanata","Plants","Plant",2,4.0000,1
"Tillandsia orbicularis","Plants","Plant",1,11.0000,1
"Tristerix longebracteatus","Plants","Plant",1,4.0000,1
"Vaccinium floribundum","Plants","Plant",3,8.0000,1
