Pollinator_gen_sp,Site_ID,Round,Plant_gen_sp,Pollinator_genus,Pollinator_species,Out,Pollinator_id,Pollinator_sex,Frequency,Morphospecie2
Xylocopa cantabrita,Urbanizaciones,1,Lavandula stoechas,Xylocopa,cantabrita,focal,no_captured,male,1,morpho_4
Xylocopa cantabrita,Aznalcazar,5,Cistus salvifolius,Xylocopa,cantabrita,transect,no_captured,NA,1,morpho_4
Xylocopa cantabrita,Aznalcazar,5,Teucrium fruticans,Xylocopa,cantabrita,transect,no_captured,male,5,morpho_4
Xylocopa cantabrita,LaRocina,6,Lavandula pedunculata,Xylocopa,cantabrita,transect,no_captured,NA,6,morpho_4
Xylocopa cantabrita,Urbanizaciones,2,Rosmarinus officinalis,Xylocopa,cantabrita,transect,no_captured,NA,3,morpho_4
Xylocopa cantabrita,ConventodelaLuz,6,Cistus crispus,Xylocopa,cantabrita,transect,no_captured,NA,4,morpho_4
Xylocopa cantabrita,ConventodelaLuz,6,Halimium halimifolium,Xylocopa,cantabrita,transect,no_captured,female,6,morpho_4
Xylocopa cantabrita,Urbanizaciones,1,Rosmarinus officinalis,Xylocopa,cantabrita,transect,BF13,male,1,morpho_4
Xylocopa valga,Niebla,3,Cistus ladanifer,Xylocopa,valga,focal,BF193,female,1,morpho_111
Xylocopa valga,Lasmulas,7,Cistus crispus,Xylocopa,valga,out,BF194,male,3,morpho_111
Xylocopa violacea,LaRocina,6,Anchusa azurea,Xylocopa,violacea,focal,no_captured,female,1,morpho_111
Xylocopa violacea,Urbanizaciones,1,Rosmarinus officinalis,Xylocopa,violacea,focal,no_captured,male,1,morpho_111
Xylocopa violacea,Niebla,4,Lupinus angustifolius,Xylocopa,violacea,transect,no_captured,NA,1,morpho_111
Xylocopa violacea,Villamanriqueeste,7,Myrtus communis,Xylocopa,violacea,out,no_captured,NA,12,morpho_111
Xylocopa violacea,LaRocina,4,Anchusa azurea,Xylocopa,violacea,focal,no_captured,male,2,morpho_111
Xylocopa violacea,Niebla,3,Asphodelus fistulosus,Xylocopa,violacea,focal,no_captured,male,1,morpho_111
Xylocopa violacea,Bonares,3,Spartium junceum,Xylocopa,violacea,focal,no_captured,female,1,morpho_111
Xylocopa violacea,Elpozo,6,Erica umbellata,Xylocopa,violacea,transect,BF697,male,4,morpho_111
Zerynthia rumina,Bonares,2,Lavandula stoechas,Zerynthia,rumina,focal,no_captured,worker,NA,morpho_85
Zerynthia rumina,Villamanriquesur,3,Lavandula stoechas,Zerynthia,rumina,focal,PERDIDO,female,1,morpho_85
