Species,Morphospecie,Notes
Amegilla fasciata,"Morpho (abdomen ancho bandas blancas, torax pardo rojizo, grande)",
Ceratina sp,"Morpho (negra metalizada, abdomen gota, pequeña)",
Dasypoda sp,"Morpho (muy pilosa, 3ºpar de patas muy piloso en hembras, mediana)",
Macroglossum stellatarum,"Morpho (colibri, lengua larga)",
Colletes sp,"Morpho (abdomen pico con bandas blancas, torax pardo rojizo, mediana)",
Eucera caspica,"Morpho (abdomen ancho con bandas blancas en forma de colina, escopas abundantes 3ºpar de patas, machos antenas muy largas)",
Lestica clypeata,"Morpho (Primer par de patas ensanche en el tarso, pequeña)",
Megascolia maculata,Morpho (megascolia),
Bombylius torquatus,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Colletes nigricans,"Morpho (abdomen pico con bandas blancas, torax pardo rojizo, mediana)",
Syrphidae NA,"Morpho (aspecto syrphido, abdomen alargado amarillo y negro)",
Usia morpho1,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Exosoma lusitanicum,"Morpho (escarabajo anaranjado, mediano)",
Heriades crenulatus,"Morpho (oscuros, bandas bancas abdomen alargado, escopa ventral, pequeño) ",
Panurgus cephalotes,"Morpho (negra, abdomen rombo, alas ahumadas)",
Ammophila heydeni,"Morpho ( abdomen alargado, peciolo fino, mediano/grande)",
Dasypoda albimana,"Morpho (muy pilosa, 3ºpar de patas muy piloso en hembras, mediana)",
Dischistus senex,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Eucera bolivari,"Morpho (abdomen ancho con bandas blancas en forma de colina, escopas abundantes 3ºpar de patas, machos antenas muy largas)",
Lasioglossum albocinctum,"Morpho (oscura, abdomen gordo y cabeza pequeña, grande",
Pieris brassicae,"Morpho (mariposa blanca, punta alas negras, puntos negros)",
Pseudapis diversipes,"Morpho (oscura, abdomen con bandas doradas, cara amarilla)",
Sphaerophoria scripta,"Morpho (aspecto syrphido, abdomen alargado amarillo y negro)",
Amegilla quadrifasciata,"Morpho (abdomen ancho bandas blancas, torax pardo rojizo, grande)",
Andrena tenuistriata,"Morpho (negra, cara redonda, abdomen andrena)",
Anthidium septemspinosum,"Morpho (aspecto avispa, torax piloso, abdomen rojo o amarillo y negro)",
Bibio sp,"Morpho (aspecto asilido, oscuro, mediano)",
Dilophus morpho1,"Morpho (aspecto asilido, oscuro, muy pequeño)",
Empis testacea,"Morpho (aspecto asilido, oscuro, patas naranjas,proboscide larga y curvada, alas ahumadas, mediano)",
Eristalis tenax,"Morpho (aspecto apis, pilosidad marron, abdomen con dibujos anaranjados, mediano/grande)",
Eucera hispaliensis,"Morpho (abdomen ancho con bandas blancas en forma de colina, escopas abundantes 3ºpar de patas, machos antenas muy largas)",
Eucera notata,"Morpho (abdomen ancho con bandas blancas en forma de colina, escopas abundantes 3ºpar de patas, machos antenas muy largas)",
Graphosoma lineatum,Morpho (chinche rayas rojas y negras),
Lasiglossum crenicornis,"Morpho (Bandas pilosas blancas abdomen, tamaño medio)",
Osmia sp,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Pieris rapae,"Morpho (mariposa blanca, punta alas negras, puntos negros)",
Sphecodes sp,"Morpho (Morpho abdomen rojizo, torax negro, mediano)",
Anthophora aestivalis,"Morpho (abdomen ancho bandas blancas, escopas 3ºpar de patas abundante, grande)",
Anthophora plumipes,"Morpho (abdomen ancho bandas blancas, escopas 3ºpar de patas abundante, grande)",
Bombylius morpho1,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Cerceris morpho1,"Morpho (alas ahumadas, terquitos abultados, cara amarilla)",
Cerocoma schaefferi,"Morpho (escarabajo metlizado verde piloso, antenas anaranjados, mediano)",
Eristalis sp,"Morpho (aspecto apis, pilosidad marron, abdomen con dibujos anaranjados, mediano/grande)",
Lomatia morpho1,"Morpho ( oscura, abdomen alargado pilosidad dorada, alas parcialmente ahumadas)",
Musca morpho1,"Morpho (abdomen negro amarillo piloso, torax negro, pequeño",
Vanessa cardui,Morpho (mariposa naranja y negro con manchas blancas en la punta),
Bombylius morpho2,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Callophrys rubi,"Morpho (mariposa verde, bordes naranjas)",
Empis tessellata,"Morpho (aspecto asilido, oscuro, patas naranjas,proboscide larga y curvada, alas ahumadas, mediano)",
Eristalis morpho1,"Morpho (aspecto apis, pilosidad marron, abdomen con dibujos anaranjados, mediano/grande)",
Eucera chrysopyga,"Morpho (abdomen ancho con bandas blancas en forma de colina, escopas abundantes 3ºpar de patas, machos antenas muy largas)",
Lasioglossum bimaculatus,"Morpho (negra, abdomen redondo, cara alargada)",
Lasioglossum discum,"Morpho (negra, abdomen redondo, cara alargada)",
Osmia rufa,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Rhodanthidium sticticum,"Morpho (aspecto avispa, torax piloso, abdomen rojo o amarillo y negro)",
Rhyncomyia cuprea,"Morpho (aspecto mosca, metalizada verde, naranja, pelos torax, mediana)",
Stomorhina lunata,"Morpho (aspecto mosca, pelos torax negro,grisaceos, pequeña)",
Systoechus morpho1,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Andrena angustior,"Morpho (marron, cabeza redonda,abdomen aplastado)",
Andrena florea,"Morpho (aspecto Apis, pilosidad marrón, mediana)",
Anthaxia morpho1,Morpho (escarabajo metalizado verde rojizo),
Anthidiellum strigatum,"Morpho (aspecto avispa, negro amarilla, escopas ventrales, pequeña)",
Anthophora bimaculata,"Morpho (abdomen ancho bandas blancas, escopas 3ºpar de patas abundante, ojos verdes, pequeña)",
Calliphora sp,"Morpho (mosca metalizada azul verdosa, sin pelos)",
Cerceris arenaria,"Morpho (alas ahumadas, terquitos abultados, cara amarilla)",
Chasmatopterus illigeri,"Morpho (abdomen anaranjado, torax negro, piloso, pequeño)",
Cryptocephalus morpho1,"Morpho (escarabajo redondo metalizado verde, final abdomen naranja)",
Halictus scabiosae,"Morpho (Pilosidad anaranjada, bandas pilosas anaranjadas, grande)",
Halictus tridivisus,"Morpho (negra, abdomen alargado y fino, mediana)",
Lasioglossum fulvipes,"Morpho (Bandas pilosas blancas abdomen, tamaño medio)",
Lasioglossum sexnotatum,"Morpho (negra, abdomen redondo, cara alargada)",
Musca sp,"Morpho (abdomen negro amarillo piloso, torax negro, pequeño",
Myathropa florea,"Morpho (aspecto apis, pilosidad marron, abdomen con dibujos anaranjados, mediano/grande)",
Nomada agrestis,"Morpho (abdomen amarillo/negro, aspecto avispa, torax piloso)",
Nomada melathoracica,"Morpho (abdomen amarillo/negro, aspecto avispa, torax piloso)",
Osmia caerulescens,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Panurgus sp,"Morpho (negra, abdomen rombo, alas ahumadas)",
Syritta pipiens,"Morpho (aspecto syrphido, abdomen alargado amarillo y negro)",
Usia sp,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Vespula germanica,"Morpho (Antenas mazizas, alas ahumadas, grande)",
Andrena ovatula,"Morpho (marron, cabeza redonda,abdomen aplastado)",
Andrena vulpecula,"Morpho (marron, cabeza redonda,abdomen aplastado)",
Anthaxia sp,"Morpho (negra, abdomen rombo, alas ahumadas, mediana)",
Bombylidae morpho1,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Buprestidae NA,"Morpho (escarabajo metalizado verde rojizo, muy grande)",
Colletes abeillei,"Morpho (abdomen pico con bandas blancas, torax pardo rojizo, mediana)",
Empis morpho2,"Morpho (aspecto asilido, oscuro, proboscide larga y curvada, pequeño)",
Eristalis arbustorum,"Morpho (aspecto apis, pilosidad marron, abdomen con dibujos anaranjados, mediano/grande)",
Lasioglossum gemmeus,"Morpho (metalizado verde, pequeña)",
Malachius morpho1,Morpho (escarabajo abdomen verde metalizado alargado final naranja),
Osmia bicornis,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Osmia submicans,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Tenthredo corynetes,"Morpho (sin cintura, sierra en el último terquito hembras, mediana)",
Trypoxylon morpho1,"Morpho (metalizado negro, abdomen alargado)",
Xylocopa valga,"Morpho (negra peluda, alas iridiscentes, muy grande)",
Andrena cinerea,"Morpho (marron, cabeza redonda,abdomen aplastado)",
Andrena humilis,"Morpho (aspecto Apis, pilosidad marrón, mediana)",
Andrena labialis,"Morpho (aspecto Apis, pilosidad marrón, mediana)",
Andrena nitidiuscula,"Morpho (aspecto Apis, pilosidad marrón, mediana)",
Anthophora atroalba,"Morpho (abdomen ancho bandas blancas, escopas 3ºpar de patas abundante, grande)",
Asilidae NA,"Morpho (aspecto asilido, oscuro, alas muy ahumadas, muy grande)",
Bembix oculata,"Morpho (boca pico, cabeza ancha, abdomen  fuerte, grande)",
Bembix zonata,"Morpho (boca pico, cabeza ancha, abdomen  fuerte, grande)",
Bombylella atra,"Morpho (Aspecto bombilido, proboscide larga, abdomen negro con manchas blancas, alas parcialmente ahumadas)",
Cerceris sabulosa,"Morpho (alas ahumadas, terquitos abultados, cara amarilla)",
Chrysura refulgens,"Morpho (metalizado rojo/azul, mediana)",
Colletes ligatus,"Morpho (abdomen pico con bandas blancas, torax pardo rojizo, mediana)",
Colpa quinquecincta,"Morpho (oscura, bandas pilosas abdomen, alas ahumadas en bordes)",
Conopidae NA,Morpho (abdomen enroscado rojizo),
Dasypoda iberica,"Morpho (muy pilosa, 3ºpar de patas muy piloso en hembras, mediana)",
Derelomus chamaeropis,"Morpho ( gorgojo anaranjado, pequeño)",
Eristalinus megacephalus,"Morpho (aspecto apis, pilosidad marron, abdomen con dibujos anaranjados, mediano/grande)",
Eristalis similis,"Morpho (aspecto apis, pilosidad marron, abdomen con dibujos anaranjados, mediano/grande)",
Glaucopsyche alexis,"Morpho (mariposa azul, manchas negras)",
Hoplitis papaveris,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Leptotes pirithous,"Morpho (mariposa azul interior, rayas blanca marrones exterior)",
Lycaena phlaeas,Morpho (mariposa manto bicolor negro y naranja),
Megachile sp,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Meloidae NA,"Morpho (escarabajo abdomen naranja puntos negros, torax negro)",
Osmia fulviventris,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Osmia leaiana,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Pangonius micans,"Morpho (aspecto bombilido, proboscide larga, oscuro, poca pilosidad, alas ahumadas)",
Pseudoanthidium lituratum,"Morpho (aspecto avispa, negro amarilla, escopas ventrales, pequeña)",
Scolia hortorum,"Morpho (2 spots amarillos final abdomen, alas ahumadas, pequeña)",
Volucella elegans,"Morpho ( torax oscuro, abdomen amarillo y negro, cara amarilla, muy grande)",
Acmaeoderella adspersula,"Morpho (escarabajo negro, manchas naranjas)",
Agapanthia asphodeli,"Morpho (escarabajo alargado, antenas muy largas)",
Andrena carbonaria,"Morpho (abdomen negro,pilosidad torax negro/blanco, alas ahumadas)",
Andrena fertoni,"Morpho (marron, cabeza redonda,abdomen aplastado)",
Bembecinus carpetanus,"Morpho (boca pico, cabeza ancha, abdomen  fuerte, grande)",
Bombylius fimbriatus,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Brachycoleus morpho1,Morpho (chinche naranjay negro),
Cacyreus marshalli,"Morpho (mariposa marrón, manchas blancas)",
Cantharis fusca,"Morpho (escarabajo alargado negro, torax rojizo, antenas muy largas)",
Ceratina callosa,"Morpho (negra metalizada, abdomen gota, pequeña)",
Ceratina mocsaryi,"Morpho (negra metalizada, abdomen gota, pequeña)",
Cerceris rybyensis,"Morpho (alas ahumadas, terquitos abultados, cara amarilla)",
Dasypoda argentata,"Morpho (muy pilosa, 3ºpar de patas muy piloso en hembras, mediana)",
Dasypogon morpho1,"Morpho (aspecto asilido, oscuro, alas muy ahumadas, muy grande)",
Eucera rufa,"Morpho (abdomen ancho con bandas blancas en forma de colina, escopas abundantes 3ºpar de patas, machos antenas muy largas)",
Euchloe crameri,Morpho (mariposa verde con manchas blancas),
Eumenes coarctatus,"Morpho (aspecto avispa, bandas amarillas abdomen, pequeña)",
Helophilus sp,"Morpho (aspecto apis, pilosidad amarillenta, abdomen con dibujos anaranjados, mediano/grande)",
Heriades truncorum,"Morpho (oscuros, bandas bancas abdomen alargado, escopa ventral, pequeño) ",
Hoplitis tridentata,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Lachnaia tristigmia,"Morpho (escarabajo abdomen naranja puntos negros, torax negro)",
Lasioglossum mediterraneum,"Morpho (negra, abdomen redondo, cara alargada)",
Lasioglossum pauxillum,"Morpho (negra, abdomen metalizado, pequeña)",
Lasioglossum tridivisus,"Morpho (abdomen alargado y fino, negro)",
Lucilia sp,"Morpho (mosca metalizada azul verdosa, sin pelos)",
Megalodontes capitalatus,"Morpho (negro amarilla, sin cintura, sierra en el último terquito hembras, mediana)",
Megalodontes sp,"Morpho (negro amarilla, sin cintura, sierra en el último terquito hembras, mediana)",
Merodon morpho1,"Morpho (aspecto apis, pilosidad marron, abdomen con dibujos anaranjados, mediano/grande)",
Mycterus curculioides,Morpho (curculionido anaranjado),
Nomada discrepans,"Morpho (abdomen rojo, aspecto avispa, torax piloso,pequeña)",
Nomada succincta,"Morpho (abdomen amarillo/negro, aspecto avispa, torax piloso)",
Oxybelus mucronatus,"Morpho (abdomen triangulo, lateral abdomen bandas amarillas)",
Philanthus triangulum,"Morpho (aspecto avispa, cabeza ancha, mediana)",
Potosia cuprea,Morpho (escarabajo metalizado verde  muy grande),
Prionyx kirbii,"Morpho ( abdomen alargado, peciolo fino, mediano/grande)",
Pseudoanthidium melanorum,"Morpho (aspecto avispa, negro amarilla, escopas ventrales, mediana)",
Rhodanthidium septendentatum,"Morpho (aspecto avispa, torax piloso, abdomen rojo o amarillo y negro)",
Sarcophaga morpho1,"Morpho (aspecto mosca, pilosa, rayas negras y grises torax, abdomen negro, gris, mediana)",
Tachysphex panzeri,"Morpho ( abdomen alargado, peciolo fino, mediano/grande)",
Ancistrocerus biphaleratus,"Morpho (aspecto avispa, bandas amarillas abdomen, pequeña)",
Ancistrocerus gazella,"Morpho (aspecto avispa, bandas amarillas abdomen, pequeña)",
Ancistrocerus reconditus,"Morpho (aspecto avispa, bandas amarillas abdomen, pequeña)",
Andrena abrupta,"Morpho (marron, cabeza redonda,abdomen aplastado)",
Andrena ferrugineicrus,"Morpho (marron, cabeza redonda,abdomen aplastado)",
Andrena morio,"Morpho (abdomen negro,pilosidad torax negro/blanco, alas ahumadas",
Andrena thoracica,"Morpho (abdomen negro, torax pilosidad rojiza, alas ahumadas)",
Apidae NA,,
Arachnospila morpho1,"Morpho (avispa negra, abdomen naranja alargado)",
Attagenus trifasciatus,"Morpho (escarabajo redondo, marron y blanco)",
Bibionidae NA,"Morpho (aspecto asilido, oscuro, muy pequeño)",
Bombyliidae NA,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Bombylius morpho3,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Brachycoleus triangularis,Morpho (chinche naranja y negro),
Calamobius filum,"Morpho (escarabajo alargado grisaceo, antenas muy largas)",
Celastrina argiolus,Morpho (mariposa azul y blanca),
Chalicodoma sicula,"Morpho (Torax y cabeza anchos, pilosidad rojiza,escopa ventral, alas ahumadas)",
Chasmatopterus zonatus,"Morpho (abdomen anaranjado, torax negro, piloso, pequeño)",
Chrysomela americana,Morpho (escarabajo metalizado dorado y verde),
Corynis sp,"Morpho (negro amarilla, sin cintura, sierra en el último terquito hembras, mediana)",
Dasypoda hirtipes,"Morpho (muy pilosa, 3ºpar de patas muy piloso en hembras, mediana)",
Dasypoda visnaga,"Morpho (muy pilosa, 3ºpar de patas muy piloso en hembras, mediana)",
Dasypogon sp,"Morpho (aspecto asilido, oscuro, alas muy ahumadas, muy grande)",
Dischistus morpho1,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Dolichovespula sp,"Morpho (Antenas mazizas, alas ahumadas, grande)",
Euodynerus posticus,"Morpho (aspecto avispa, bandas amarillas abdomen, pequeña)",
Halictus quadricinctus,Morpho (Bandas blancas abdominales),
Hoplitis antigae,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Hylaeus variegatus,"Morpho (negra metalizada, cara con manchas blancas, muy pequeña)",
Ichneumonidae morpho1,"Morpho (avispa oscura, ovopositor largo)",
Lasioglossum interruptum,"Morpho (negra, abdomen redondo, cara alargada)",
Machimus sp,"Morpho (aspecto asilido, marrón, tibias naranjas, alas poco ahumadas, grande)",
Malachius abdominalis,Morpho (escarabajo abdomen verde metalizado alargado final naranja),
Myopa buccata,"Morpho (mosca rojiza, culo enroscado, cara blanca)",
Nemoptera bipennis,"Morpho (aspecto mariposa, dos colas largas)",
Nemotelus morpho1,"Morpho (mosca abdomen blanco, manchas blancas)",
Nomada fucata,"Morpho (abdomen amarillo/negro, aspecto avispa, torax piloso)",
Osmia argyropyga,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Papilio machaon,"Morpho (mariposa blanco, manchas negras y azul)",
Parageron morpho1,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Parageron sp,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Pelecocera tricincta,"Morpho (aspecto syrphido, abdomen alargado amarillo y negro)",
Podalonia tydei,"Morpho ( abdomen alargado, peciolo fino, mediano/grande)",
Polistes dominula,"Morpho (aspecto avispa amarilla y negra, alas ahumadas, mediana)",
Polistes gallicus,"Morpho (aspecto avispa amarilla y negra, alas ahumadas, mediana)",
Protaetia oblonga,Morpho (escarabajo negro muy grande),
Pyronia bathseba,Morpho (mariposa naranja bordes marrones y manchas negras),
Reduviidae NA,Morpho (chinche rojo y negro),
Strymon sculi,"Morpho (mariposa marrón, manchas naranjas)",
Tachysphex denisi,"Morpho ( abdomen alargado, peciolo fino, mediano/grande)",
Tenthredo sp,"Morpho (sin cintura, sierra en el último terquito hembras, mediana)",
Thomysus morpho1,Morpho (araña),
Usia morpho2,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Vanessa atalanta,Morpho (mariposa naranja bordes marrones y manchas negras),
Vespidae sp,"Morpho (Antenas mazizas, alas ahumadas, grande)",
Zerynthia rumina,Morpho (mariposa amarilla con manchas rojas y negras),
Coelioxys sp,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas, abdemen triangular)",
Hoplitis sp,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Opsilia coerulescens,"Morpho (escarabajo alargado grisaceo, antenas muy largas)",
Osmia aurulenta,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Osmia latreillei,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Tabanus morpho1,"Morpho (aspecto tabano, grisaceo, alas poco ahumadas, abdomen aplastado, boca pico)",
Tabanus morpho2,"Morpho (aspecto tabano, anaranjado, alas poco ahumadas, abdomen aplastado, boca pico)",
