Species,Morphospecie,Notes
Apis mellifera,Morpho  (Apis),
Bombus terrestris,Morpho  (Bombus),
Xylocopa cantabrita,"Morpho  (Ultimo terquito abdomen rojizo naranja, grande)",
Flavipanurgus venustus,"Morpho (cabeza ancha, abdomen negro con lineas laterales amarillas)",
Psilothrix viridicoerulea,"Morpho (metalizado verde, pequeño ",
Andrena hispania,"Morpho (abdomen negro,pilosidad torax negro/blanco, alas ahumadas",
Lasioglossum malachurum,"Morpho (negra, abdomen redondo, cara alargada)",
Ceratina cucurbitina,"Morpho (negra metalizada, abdomen gota, pequeña)",
Amegilla albigena,"Morpho (abdomen ancho bandas blancas, torax pardo rojizo, grande)",
Dasypoda cingulata,"Morpho (muy pilosa, 3ºpar de patas muy piloso en hembras, mediana)",
Dasypoda crassicornis,"Morpho (muy pilosa, 3ºpar de patas muy piloso en hembras, mediana)",
Eucera sp,"Morpho (abdomen ancho con bandas blancas en forma de colina, escopas abundantes 3ºpar de patas, machos antenas muy largas)",
Anthophora hispanica,"Morpho (abdomen ancho y negro, torax rojizo,escopas 3ºpar de patas abundante, muy grande)",
Panurgus dargius,"Morpho (negra, abdomen rombo, alas ahumadas)",
Merodon sp,"Morpho (aspecto apis, pilosidad marron, abdomen con dibujos anaranjados, mediano/grande)",
Panurgus banksianus,"Morpho (negra, abdomen rombo, alas ahumadas)",
Oxythyrea funesta,"Morpho (escarabajo negro, manchas blancas pequeñas, poco peludo)",
Andrena flavipes,"Morpho (aspecto Apis, pilosidad marrón, mediana)",
Andrena nigroaenaea,"Morpho (aspecto Apis, pilosidad marrón, mediana)",
Anthophora dispar,"Morpho (abdomen ancho bandas blancas, escopas 3ºpar de patas abundante, grande)",
Empis sp,"Morpho (aspecto asilido, oscuro, proboscide larga y curvada, pequeño)",
Eucera collaris,"Morpho (abdomen ancho con bandas blancas en forma de colina, escopas abundantes 3ºpar de patas, machos antenas muy largas)",
Tropinota squalida,"Morpho (escarabajo negro, manchas blancas, pilosidad amarillenta)",
Hoplitis adunca,"Morpho (Torax y cabeza anchos, escopa ventral, alas ahumadas)",
Xylocopa violacea,"Morpho (negra peluda, alas iridiscentes, muy grande)",
Andrena rhyssonota,"Morpho (marron, cabeza redonda,abdomen aplastado)",
Eristalinus taeniops,"Morpho (aspecto apis, pilosidad marron, abdomen con dibujos anaranjados, mediano/grande)",
Platynochaetus setosus,"Morpho (aspecto apis, pilosidad marron, abdomen oscuro, mediano/grande)",
Heliotaurus ruficollis,"Morpho (escarabajo abdoben negro, torax rojo, cabeza negra)",
Nomada sp,"Morpho (abdomen rojo, aspecto avispa, torax piloso,pequeña)",
Anthophora sp,"Morpho (abdomen ancho bandas blancas, escopas 3ºpar de patas abundante, grande)",
Lasioglossum leucozonium,"Morpho (negra, abdomen redondo, cara alargada)",
Panurgus calcaratus,"Morpho (negra, abdomen rombo, alas ahumadas)",
Systropha planidens,"Morpho (oscura, antenas maza, mediana)",
Bombylius sp,"Morpho (aspecto bombilido, proboscide larga, pilosidad negro/pardo/blanca)",
Chasmatopterus villosulus,"Morpho (abdomen anaranjado, torax negro, piloso, pequeño)",
Colletes acutus,"Morpho (abdomen pico con bandas blancas, torax pardo rojizo, mediana)",
Episyrphus balteatus,"Morpho (aspecto syrphido, abdomen alargado amarillo y negro)",
Nomada merceti,"Morpho (abdomen rojo, aspecto avispa, torax piloso,pequeña)",
Anthophora retusa,"Morpho (abdomen ancho bandas blancas, escopas 3ºpar de patas abundante, grande)",
Lasioglossum imminutus,"Morpho (negra, abdomen redondo, cara alargada)",
Macrophya montana,"Morpho (sin cintura, sierra en el último terquito hembras, mediana)",
Empis morpho1,"Morpho (aspecto asilido, oscuro, proboscide larga y curvada, pequeño)",
Eucera alternans,"Morpho (abdomen ancho con bandas blancas en forma de colina, escopas abundantes 3ºpar de patas, machos antenas muy largas)",
Eucera codinai,"Morpho (abdomen ancho con bandas blancas en forma de colina, escopas abundantes 3ºpar de patas, machos antenas muy largas)",
Eucera elongatula,"Morpho (abdomen ancho con bandas blancas en forma de colina, escopas abundantes 3ºpar de patas, machos antenas muy largas)",
Helophilus trivittatus,"Morpho (aspecto apis, pilosidad amarillenta, abdomen con dibujos anaranjados, mediano/grande)",
